Rank(P),Point,Rank(C),Cristal,S1 Od,S2 Od,S3 Od,S4 Od,S5 Od,S6 Od,S7 Od,S8 Od,S9 Od,S10 Od,S11 Od,S12 Od,S13 Od,S14 Od,S15 Od,Name,Server,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,이전아이디,비고,여단,SRP,SRC
323,7,381,"9,000",-,-,-,-,-,-,32,87,189,-,-,-,-,,,공백닉14,티스라오,골3,골2,-,실1,골3,원더,32,128,256,-,-,-,-,-,-,마트로시카,,흑우단,118,142
356,6,381,"9,000",95,110,-,139,151,-,-,-,-,-,-,-,-,,,초팬,리그리아,128,128,원더,256,256,골3,골3,골1,원더,골3,실2,-,-,-,-,"강정, 강적, 공짜강적, 초팬",,Legend,10,10
356,6,381,"9,000",256,-,-,230,46,206,-,-,-,-,-,-,-,,,꿀벌펀치,레이갈드,256,원더,원더,256,64,256,원더,원더,-,-,-,-,-,-,-,"오로롱, 야 꿀벌",,미시인사이드,35,34
356,6,381,"9,000",-,-,-,-,-,-,-,-,-,-,83,184,-,34,,규네포스zMpN,노센레이어,원더,원더,원더,원더,원더,원더,골1,원더,골2,원더,128,256,원더,64,-,"규네포스, 규네포스zMpN",,,28,32
356,6,381,"9,000",-,-,-,-,-,-,-,-,78,-,-,214,-,39,,망친상어,벨제리아,-,골3,골3,골3,골3,골1,원더,원더,128,원더,골1,256,원더,64,-,"starhope, 하야세 유우카, Haruna, 망친상어",,,15,21
356,6,381,"9,000",-,-,-,-,-,-,-,110,61,226,-,-,-,,,벨제리아 테무친,벨제리아,골3,골2,골2,원더,원더,원더,원더,128,64,256,원더,-,-,-,-,"벨제리아 테무친, 뚱멜다",,,15,21
356,6,381,"9,000",-,100,71,237,224,-,-,-,-,-,-,-,-,,,브이몬,티스라오,원더,128,128,256,256,원더,골3,-,-,-,-,-,-,-,-,"BisvV, 탈주닌자",,,129,142
356,6,381,"9,000",-,-,136,-,114,94,253,-,-,-,-,-,-,,,유즈맘,티스라오,골3,원더,256,원더,128,128,256,-,원더,원더,-,-,-,-,-,명예수호자,,랑그리스,129,142
356,6,381,"9,000",-,-,82,186,69,-,215,-,-,-,-,-,-,,,오로 크로니,티스라오,원더,원더,128,256,128,원더,256,원더,원더,원더,원더,-,-,-,-,아르꾸,,,129,142
356,6,381,"9,000",-,-,-,-,-,-,-,-,-,-,-,47,94,,256,구님,티스라오,골1,골2,-,-,골2,골1,원더,원더,원더,원더,원더,64,128,원더,256,,,슬레이어즈,129,142
356,6,381,"9,000",-,-,-,-,-,-,-,-,-,-,-,-,70,,64,mica,티스라오,골3,골3,-,-,-,-,-,-,-,실1,골3,원더,128,256,64,,,,129,142
399,5,381,"9,000",174,89,-,-,-,-,210,212,-,-,-,-,-,,,준영,카먼,256,128,골1,원더,원더,원더,256,256,골2,-,-,-,-,-,-,,,,64,63
464,4,381,"9,000",-,-,-,231,-,-,207,-,-,-,151,-,-,,256,라다니아,노센레이어,원더,원더,원더,256,원더,원더,256,원더,원더,원더,256,원더,골1,골1,256,,,BlackTea,43,32
241,10,399,"8,500",5,24,-,-,-,-,-,-,-,-,-,-,-,,,시바견6KATR,레이갈드,8,32,원더,골3,골3,브3,-,-,-,-,-,-,-,-,-,"짱딘, 시바견",,,22,35
323,7,399,"8,500",-,-,-,-,78,70,-,-,-,-,-,51,-,,,웰치스캔포도맛,레이갈드,골2,골1,원더,원더,128,128,골2,원더,원더,원더,-,64,-,-,-,,,대한민국,30,35
399,5,399,"8,500",71,159,149,196,-,-,-,-,-,-,-,-,-,,,일루시아bDGB,레이갈드,128,256,256,256,원더,원더,원더,원더,골2,-,-,-,-,-,-,일루시아,,미시인사이드,38,35
399,5,399,"8,500",80,133,-,-,-,164,133,-,-,-,-,-,-,,,매의단그리피스,티스라오,128,256,원더,원더,골1,256,256,-,-,-,-,-,-,-,-,,,여고생,150,149
399,5,399,"8,500",84,145,-,143,255,-,-,-,-,-,-,-,-,,,망겜임,발디아,128,256,원더,256,256,실1,실2,골3,골2,실1,골3,-,-,-,-,,,,17,17
399,5,399,"8,500",164,-,212,87,-,246,-,-,-,-,-,-,-,,,다람쥐 베르너,카먼,256,원더,256,128,원더,256,골2,원더,원더,원더,골2,-,-,-,-,빛후 시그마,,,64,65
399,5,399,"8,500",238,90,239,-,248,-,-,-,-,-,-,-,-,,,KingDom,레이갈드,256,128,256,원더,256,골3,골3,-,-,-,-,-,-,-,-,,,,38,35
399,5,399,"8,500",-,-,-,-,-,-,-,123,122,161,-,-,-,,,현이하나,이스카노,-,-,실3,골3,골1,골2,골3,128,128,256,골2,-,-,-,-,,,,2,2
399,5,399,"8,500",-,-,-,241,244,82,252,-,-,-,-,-,-,,,히핍,티스라오,골1,원더,원더,256,256,128,256,골3,골3,-,골3,-,-,-,-,"소잃고뇌약간고친, 팥쥐, 히핍",,빛,150,149
399,5,399,"8,500",-,-,147,118,193,149,-,-,-,-,-,-,-,,,모두행복하세요,카콘시스,원더,원더,256,128,256,256,-,-,-,-,-,-,-,-,-,OCI51,,,5,5
399,5,399,"8,500",-,-,-,79,136,222,246,-,-,-,-,-,-,,,독도,노센레이어,골2,골2,골2,128,256,256,256,원더,골2,-,-,-,-,-,-,,,,35,34
399,5,399,"8,500",-,-,-,-,-,-,-,-,-,-,-,-,234,53,256,이장현,티스라오,-,-,-,-,-,-,-,-,골3,골1,원더,원더,256,64,256,,,랑린이,150,149
399,5,399,"8,500",-,-,-,-,-,-,-,-,-,-,-,167,-,63,256,이호성,칼자스,골3,골3,골3,골1,골1,원더,원더,원더,원더,원더,원더,256,원더,64,256,,,형귀헬스장,20,20
399,5,399,"8,500",-,-,-,-,-,-,-,-,-,-,-,70,-,93,256,마린도르프1,노센레이어,골3,골3,실1,골3,골2,골1,원더,원더,원더,원더,원더,128,원더,128,256,"마린도르프, 마린도르프1",,랑린이,35,34
399,5,399,"8,500",-,-,-,-,-,-,-,-,-,-,-,-,128,,64,행복랑모,보르스레누,-,-,-,-,-,-,-,-,-,-,골1,원더,256,256,64,,,,3,3
464,4,399,"8,500",-,-,-,-,165,184,218,200,-,-,-,-,-,,,일륜,카콘시스,실2,골3,골1,원더,256,256,256,256,원더,원더,-,-,-,-,-,"오필리아, 일륜, 기밀 륜",,,6,5
262,9,415,"8,000",1,-,-,-,-,-,-,-,-,-,-,-,-,,,임블,레이갈드,1,원더,원더,원더,원더,원더,골3,골3,골2,골2,-,-,-,-,-,,,,27,39
323,7,415,"8,000",23,162,86,-,-,-,-,-,-,-,-,-,-,,,Apache,리그리아,32,256,128,원더,원더,골1,원더,골3,-,-,-,-,-,-,-,살귀,,Legend,8,11
323,7,415,"8,000",55,94,97,-,-,-,-,-,-,-,-,-,-,,,카프레제,티스라오,64,128,128,원더,-,-,-,-,-,-,-,-,-,-,-,,,,118,152
323,7,415,"8,000",218,120,20,-,-,-,-,-,-,-,-,-,-,,,SCHUBERT,성검,256,128,32,원더,-,-,-,-,-,-,-,-,-,-,-,,,,13,15
323,7,415,"8,000",-,-,-,-,-,-,-,-,-,-,89,11,-,,,무딘,티스라오,골3,원더,골2,원더,골3,골2,골2,골1,골1,골1,128,16,-,-,-,"썸탈꺼야, 류심, 무딘",,,118,152
323,7,415,"8,000",-,93,36,117,-,-,-,-,-,-,-,-,-,,,꾸꾸까까12,칼자스,원더,128,64,128,원더,골3,-,-,-,-,-,-,-,-,-,,,,18,21
323,7,415,"8,000",-,-,-,20,223,121,-,-,-,-,-,-,-,,,SparkGuz,카먼,원더,원더,원더,32,256,128,골3,-,-,-,-,-,-,-,-,,,,55,66
323,7,415,"8,000",-,-,47,-,233,-,36,-,-,-,-,-,-,,,쩡요87,빛의후예,원더,원더,64,원더,256,원더,64,원더,-,-,-,-,-,-,-,"미니꼬1, 식물, 여니꼬, 쩡요87",,,5,5
356,6,415,"8,000",-,-,-,-,220,188,-,-,19,-,-,-,-,,,ZELDA,티스라오,-,골3,골1,원더,256,256,골1,골1,32,-,-,-,-,-,-,"폰허브, 봉달",,흑우단,129,152
356,6,415,"8,000",-,-,-,-,-,63,130,90,-,-,-,-,-,,,배추사세요,티스라오,실2,골3,원더,원더,원더,64,256,128,-,-,-,-,-,-,-,실바나스,,,129,152
399,5,415,"8,000",-,-,-,209,-,-,-,236,53,-,-,-,-,,,Norn,레이갈드,원더,원더,원더,256,원더,원더,원더,256,64,골3,-,-,-,-,-,,,,38,39
399,5,415,"8,000",-,-,-,-,-,-,68,176,81,-,-,-,-,,,준휘아빠,성검,골3,골3,원더,원더,원더,원더,128,256,128,-,-,원더,-,-,-,"불빠따, 리릿, 준휘아빠",,,16,15
399,5,415,"8,000",-,-,-,-,-,-,195,98,116,-,-,-,-,,,그 린,카먼,골2,골2,원더,원더,원더,원더,256,128,128,-,-,-,-,-,-,,,,64,66
399,5,415,"8,000",-,-,-,-,-,-,43,242,154,-,-,-,-,,,신조협려1,노센레이어,골2,골3,골3,골3,-,원더,64,256,256,원더,-,골3,-,-,-,"PNix트리엘, 사조영웅전, 소오강호곡, 신조협려1",,피닉스,35,36
399,5,415,"8,000",-,-,-,-,-,40,-,172,191,-,-,-,-,,,엽꿀,노센레이어,골2,원더,원더,원더,원더,64,골3,256,256,골2,-,-,-,-,-,,,,35,36
399,5,415,"8,000",-,-,-,-,-,-,97,86,-,158,-,-,-,,,니은이,엘스리드,-,실1,골2,골1,원더,원더,128,128,원더,256,골1,-,-,-,-,,,엘스리드왕국,3,4
464,4,415,"8,000",250,243,196,242,-,-,-,-,-,-,-,-,-,,,IllIIlIl,벨제리아,256,256,256,256,-,-,-,-,-,-,-,-,-,-,-,"Von, 유벤투스",,,24,24
464,4,415,"8,000",-,-,-,-,-,-,-,-,-,-,-,139,179,122,,짝쥐,이바스,-,-,-,-,실3,골2,골1,원더,원더,원더,원더,256,256,128,-,,,,3,3
464,4,415,"8,000",-,-,-,-,-,-,-,253,103,-,235,-,-,,,백야차,티스라오,골3,골2,골1,원더,원더,원더,원더,256,128,원더,256,-,-,-,-,"Stussy, 백얓",,여고생,166,152
464,4,415,"8,000",-,-,-,-,-,-,-,-,251,132,110,-,-,,,마제스트,엘스리드,실3,골3,골3,골2,골1,원더,원더,원더,256,256,128,-,-,-,-,"클로테르, 마제스트",,,5,4
464,4,415,"8,000",-,-,-,-,-,255,-,157,-,106,-,243,-,,,삼세판,티스라오,골1,원더,원더,원더,원더,골2,원더,256,원더,128,골3,256,-,-,-,"오저령, 샤리s, 테오도로, 삼세판","계정 변경 시리s(S8), 테오도로",랑그리스,166,152
464,4,415,"8,000",-,-,-,-,-,255,-,106,-,242,-,176,-,,,LiE,벨제리아,골3,골2,원더,원더,원더,원더,원더,128,원더,256,원더,256,-,-,-,"잠깐뼈맞았어, LiE",,,24,24
464,4,415,"8,000",-,-,-,179,171,178,249,-,-,-,-,-,-,,,율리웁스,엘스리드,실3,골2,원더,256,256,256,256,-,-,-,-,-,-,-,-,,,,5,4
464,4,415,"8,000",-,-,-,188,200,148,137,-,-,-,-,-,-,,,픽사,칼자스,브1,-,원더,256,256,256,256,-,골3,-,-,-,-,-,-,"쥬그라가쥬금, 보 리, 구조체, 아쿄, 시카시카시카츄, 양꿀, 회색늑대쨩, 불굴의닭강정","계정 변경 아 카 야(S6), 계정 변경 양꿀(S6), 계정 변경 회색늑대쨩(S7), 계정 변경 픽사(S8)",,23,21
464,4,415,"8,000",-,-,-,-,-,-,-,-,-,-,-,-,68,,256,Anku,카먼,골3,실2,-,-,-,실2,골3,골1,골1,원더,원더,원더,128,256,256,,,대한민국,73,66
464,4,415,"8,000",-,-,-,-,-,-,-,-,-,-,-,114,-,,256,택사미,칼자스,원더,원더,원더,원더,원더,골2,골1,골3,골2,골2,원더,128,-,256,256,,,,23,21
464,4,415,"8,000",-,-,-,-,-,-,-,-,-,-,119,180,-,,256,피아노,티스라오,골2,원더,원더,원더,원더,원더,원더,원더,원더,원더,128,256,원더,원더,256,,,,166,152
464,4,415,"8,000",-,-,-,-,-,-,-,-,-,-,-,102,253,,256,창땡,티스라오,원더,골2,-,-,-,-,-,-,실3,골3,골2,128,256,원더,256,,,흑우단,166,152
356,6,443,"7,500",169,28,-,-,-,-,129,-,-,-,-,-,-,,,쥬지,카먼,256,32,원더,골3,골3,원더,256,원더,골3,-,-,-,-,-,-,,,,59,69
356,6,443,"7,500",173,31,167,-,-,-,-,-,-,-,-,-,-,,,낙화,티스라오,256,32,256,골3,-,-,-,-,-,-,-,-,-,-,-,,,,129,160
356,6,443,"7,500",205,47,127,-,-,-,-,-,-,-,-,-,-,,,푸풉이,티스라오,256,64,128,원더,원더,원더,원더,골1,골1,-,-,-,-,-,-,,,,129,160
356,6,443,"7,500",-,-,-,-,-,-,-,-,11,204,-,-,-,,,클라크공간,티스라오,브3,브2,골3,골1,원더,골1,원더,원더,16,256,-,-,-,-,-,"Clark, 클라크공간",,여고생,129,160
356,6,443,"7,500",-,-,-,-,-,-,-,-,-,-,-,14,226,,,기여운다람지,티스라오,-,-,-,골3,골3,골3,골3,골3,원더,원더,원더,16,256,-,-,,,,129,160
356,6,443,"7,500",-,70,185,59,-,-,-,-,-,-,-,-,-,,,힐  다,노센레이어,원더,128,256,64,골2,-,-,-,-,-,-,-,-,-,-,"Souffle, 로젠실",,,28,38
356,6,443,"7,500",-,139,28,-,-,-,204,-,-,-,-,-,-,,,별빛내림,발디아,골2,256,32,원더,-,-,256,-,-,-,-,-,-,-,-,의창구,계정 변경 의창구(前),,16,18
356,6,443,"7,500",-,205,-,-,47,-,69,-,-,-,-,-,-,,,뭉크리아,노센레이어,원더,256,원더,원더,64,원더,128,원더,골2,-,실3,-,-,-,-,,,,28,38
356,6,443,"7,500",-,-,-,-,94,72,118,-,-,-,-,-,-,,,던파하는왕개,노센레이어,실1,골1,골2,골2,128,128,128,원더,-,-,-,-,-,-,-,왕개,,,28,38
399,5,443,"7,500",-,-,-,-,-,41,250,133,-,-,-,-,-,,,스넥초코칩,티스라오,골2,골2,원더,원더,원더,64,256,256,원더,원더,골3,-,-,-,-,,,,150,160
464,4,443,"7,500",-,-,-,-,-,-,-,82,214,-,-,-,-,,,작은배추,레이갈드,골3,원더,원더,원더,원더,원더,256,128,256,-,-,-,-,-,-,"작은배추, 작은x추, 나뮤",,대한민국,44,41
464,4,443,"7,500",-,-,-,-,-,-,71,-,255,179,-,-,-,,,감잘러,발디아,실3,골3,원더,원더,원더,원더,128,원더,256,256,골1,-,-,-,-,,,,20,18
464,4,443,"7,500",-,-,-,-,-,-,82,-,-,167,-,-,-,,256,군바리,노센레이어,골3,골3,원더,원더,원더,원더,128,원더,원더,256,원더,원더,원더,원더,256,"루빌, 군바리",,피닉스,43,38
464,4,443,"7,500",-,-,-,-,140,-,-,-,-,-,-,-,-,,128,react,다르시스,골3,원더,원더,원더,256,원더,원더,골2,원더,골3,골1,원더,원더,256,128,,,,3,3
464,4,443,"7,500",-,-,251,-,-,-,-,-,-,-,180,-,-,,128,꽃놀이,성검,골2,원더,256,원더,골3,골3,골1,골2,골3,원더,256,원더,골3,원더,128,"실버원신, 오메가크리티컬, 밥도둑법신이, 나리타 타이신, 꽃놀이",2023.01.12 변경,고양이,18,17
546,3,443,"7,500",-,-,-,-,-,-,-,-,247,233,-,-,-,,,카류카이,티스라오,골3,골3,골1,원더,골1,원더,원더,원더,256,256,원더,원더,원더,256,-,,,,195,160
546,3,443,"7,500",-,-,-,-,-,-,-,-,-,-,165,-,150,,,욘D쫀득,카먼,-,실3,골3,골3,골2,골2,원더,골2,골3,골1,256,원더,256,256,-,,,,81,69
546,3,443,"7,500",-,-,-,-,-,-,-,-,-,-,-,230,255,,,레지나 맥크레디,성검,골3,골3,골2,골1,원더,원더,원더,골1,원더,원더,원더,256,256,256,-,"소유아, 레지나 맥크레디",,,24,17
546,3,443,"7,500",-,-,-,-,-,-,-,-,-,-,233,136,168,,,SEagle,노센레이어,실2,실2,실1,골2,골1,골1,골1,골1,골1,원더,256,256,256,-,-,,,,51,38
546,3,443,"7,500",-,-,-,-,-,-,-,-,-,-,-,-,217,,256,암연,이바스,-,-,-,-,-,브3,실3,골3,골3,골3,골3,실1,256,256,256,,세O1버,,4,4
546,3,443,"7,500",-,-,-,-,-,-,-,-,-,-,-,-,254,,256,별그림자,카먼,골2,원더,원더,원더,골1,원더,원더,원더,원더,원더,원더,원더,256,256,256,,,,81,69
546,3,443,"7,500",-,-,-,-,-,-,-,-,-,-,220,-,229,,256,시즈나,카먼,골3,골1,원더,원더,원더,원더,원더,원더,원더,원더,256,원더,256,원더,256,,,랑갤럼,81,69
546,3,443,"7,500",-,-,-,-,-,-,-,-,-,-,-,218,201,,256,꿍해또,카먼,-,-,-,-,-,실3,-,-,-,골2,원더,256,256,원더,256,,,,81,69
546,3,443,"7,500",-,-,-,-,-,-,-,-,-,-,-,251,225,,256,하이바바,리그리아,원더,원더,골3,골1,골2,원더,원더,원더,골1,골1,골1,256,256,원더,256,,,,16,12
295,8,467,"7,000",2,-,-,-,-,-,-,-,-,-,-,-,-,,,눈벽이,티스라오,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,108,166
323,7,467,"7,000",-,-,-,-,-,-,16,-,82,-,-,-,-,,,S7,티스라오,원더,원더,원더,원더,원더,원더,16,골2,128,-,-,-,-,-,-,,,카르페디엠,118,166
399,5,467,"7,000",66,237,109,-,-,-,-,-,-,-,-,-,-,,,iiiiiiil,티스라오,128,256,128,골3,-,-,-,-,-,-,-,-,-,-,-,나지,,,150,166
399,5,467,"7,000",137,97,85,-,-,-,-,-,-,-,-,-,-,,,샤르로,카먼,256,128,128,원더,-,-,-,-,-,-,-,-,-,-,-,샤를로,계정 변경 샤를로(前),,64,74
399,5,467,"7,000",190,64,219,-,-,-,-,-,-,-,-,-,-,,,리제핀,라카스,256,64,256,-,-,-,-,-,-,-,-,-,-,-,-,,,,7,7
399,5,467,"7,000",197,57,222,-,-,-,-,-,-,-,-,-,-,,,보젤뽑자,발디아,256,64,256,골3,-,-,-,-,-,-,-,-,-,-,-,,,,17,20
399,5,467,"7,000",-,76,202,124,-,-,-,-,-,-,-,-,-,,,쳇젠장할,카먼,원더,128,256,128,원더,원더,원더,원더,원더,원더,-,-,-,-,-,,,,64,74
399,5,467,"7,000",-,-,-,57,159,198,-,-,-,-,-,-,-,,,NOVA,레겐부르그,실2,골1,원더,64,256,256,골3,-,-,-,-,-,-,-,-,"띵똥띵똥, Onyx",,,2,2
464,4,467,"7,000",149,244,-,-,-,-,-,-,-,-,-,-,121,,,마요네즈눈사람,노센레이어,256,256,골1,원더,원더,원더,원더,골3,골1,원더,골2,원더,128,-,-,"마요네즈눈사람, 마요네즈눈사람y",,피닉스,43,43
464,4,467,"7,000",-,-,168,68,-,-,-,159,-,-,-,-,-,,,유리아맘,티스라오,원더,원더,256,128,원더,원더,골3,256,원더,골2,-,-,-,-,-,"유리아맘, 머쉬베놈, 조퐝일",,,166,166
464,4,467,"7,000",-,-,68,157,-,-,-,168,-,-,-,-,-,,,맥스먼시,카먼,원더,원더,128,256,원더,원더,원더,256,원더,원더,골2,-,-,-,-,와타루,,,73,74
464,4,467,"7,000",-,-,-,-,-,92,244,224,-,-,-,-,-,,,정상에서바닥,페르세우스,-,-,실3,골3,원더,128,256,256,실3,-,-,-,-,-,-,"도선생, 정상에서바닥",,,5,5
464,4,467,"7,000",130,-,-,-,-,-,170,-,-,-,-,-,-,,128,아로크루,티스라오,256,-,-,실1,-,원더,256,-,골3,실1,-,원더,원더,원더,128,,,,166,166
546,3,467,"7,000",-,-,-,-,-,255,-,153,-,249,-,-,-,,,깡,티스라오,원더,골1,원더,원더,원더,256,원더,256,원더,256,원더,-,-,-,-,,,카르페디엠,195,166
546,3,467,"7,000",-,-,-,-,-,161,-,-,-,-,-,-,-,,256,안도갓,카먼,골3,원더,원더,원더,원더,256,원더,원더,원더,원더,원더,원더,원더,256,256,,,,81,74
323,7,482,"6,500",11,127,-,-,-,-,-,-,-,-,-,-,-,,,kcaf,레이갈드,16,128,원더,원더,-,-,실1,-,-,-,-,-,-,-,-,"politic, kcaf",,,30,42
399,5,482,"6,500",-,-,-,-,-,-,-,-,60,104,-,-,-,,,아사비,노센레이어,골3,골3,골2,골3,골1,골3,-,-,64,128,원더,-,-,-,-,"아스미타, 아사비",,,35,44
399,5,482,"6,500",-,-,-,-,-,-,-,-,-,-,-,-,-,18,256,아담한남자,리그리아,-,실2,골3,골3,골1,원더,골2,골1,골2,골2,원더,원더,원더,32,256,을꾸꾸,,인연,11,13
399,5,482,"6,500",-,-,-,-,-,-,-,-,-,-,-,-,-,36,128,9번타자,벨제리아,브1,골3,골3,골2,골2,골2,골1,골1,원더,원더,골1,골1,원더,64,128,"쌍넘, 9번타자",,,19,26
399,5,482,"6,500",-,-,-,-,-,-,-,-,-,-,-,-,-,38,128,아리송DZgAf,레이갈드,실3,골3,골2,골1,원더,원더,원더,원더,원더,원더,원더,원더,원더,64,128,,,,38,42
399,5,482,"6,500",-,-,-,-,-,-,-,-,-,-,-,-,-,109,64,Drury,레이갈드,골2,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,128,64,,,,38,42
399,5,482,"6,500",-,-,-,-,-,-,-,-,-,-,-,137,-,,64,데리버거,보르스레누,-,-,-,-,-,-,-,-,-,실1,골2,256,원더,골1,32,,,달,3,4
399,5,482,"6,500",-,-,-,-,-,-,-,-,-,-,225,-,-,,64,욘모그셈,칼자스,원더,실2,골3,골1,골1,골2,골2,원더,원더,골2,256,골2,골2,골1,32,,,형귀헬스장,20,24
464,4,482,"6,500",105,216,157,-,-,-,-,-,-,-,-,-,-,,,Flush,티스라오,128,256,256,원더,-,-,-,-,-,-,-,-,-,-,-,,,,166,172
464,4,482,"6,500",167,198,123,-,-,-,-,-,-,-,-,-,-,,,루나,티스라오,256,256,128,골3,실2,실2,-,-,-,-,-,-,-,-,-,,,,166,172
464,4,482,"6,500",184,-,253,83,-,-,-,-,-,-,-,-,-,,,랑할배,티스라오,256,원더,256,128,-,-,-,-,-,-,-,-,-,-,-,"개쓰레기게임, ACOUSTIC, 랑할배",,,166,172
464,4,482,"6,500",189,106,198,-,-,-,-,-,-,-,-,-,-,,,레빈2d95eg,발디아,256,128,256,-,-,-,-,-,-,-,-,-,-,-,-,레빈,,,20,21
464,4,482,"6,500",226,220,96,-,-,-,-,-,-,-,-,-,-,,,노에미,티스라오,256,256,128,원더,골2,골1,원더,-,-,-,-,-,-,-,-,따봉도치,,여고생,166,172
464,4,482,"6,500",-,-,-,171,-,132,109,-,-,-,-,-,-,,,천투,카먼,실3,골1,원더,256,원더,256,128,-,-,-,-,-,-,-,-,,,,73,78
464,4,482,"6,500",-,-,-,-,124,141,153,-,-,-,-,-,-,,,PNix백번,노센레이어,골2,골3,골1,원더,128,256,256,원더,-,-,-,-,-,-,-,,,,43,44
464,4,482,"6,500",-,-,138,198,119,-,-,-,-,-,-,-,-,,,팽귄wqbXxZ,성검,원더,원더,256,256,128,원더,골1,-,-,-,-,-,-,-,-,펭귄,,,18,19
464,4,482,"6,500",-,-,70,190,130,-,-,-,-,-,-,-,-,,,네시Pnc9qn,레이갈드,원더,원더,128,256,256,원더,원더,원더,골1,골2,-,-,-,-,-,,,미시인사이드,44,42
464,4,482,"6,500",-,-,188,93,143,-,-,-,-,-,-,-,-,,,이카루트,발디아,골3,골2,256,128,256,골1,골3,-,-,-,-,-,-,-,-,,,,20,21
546,3,482,"6,500",-,-,-,-,-,162,227,158,-,-,-,-,-,,,태엽감는새,티스라오,골1,원더,원더,원더,원더,256,256,256,-,-,-,-,-,-,-,,,,195,172
356,6,501,"6,000",47,44,-,-,-,-,-,-,-,-,-,-,-,,,마이웨이,카먼,64,64,골3,-,-,-,-,-,-,-,-,-,-,-,-,,,,59,79
356,6,501,"6,000",-,-,74,-,32,-,-,-,-,-,-,-,-,,,아랑이공주,레이갈드,골2,원더,128,원더,32,원더,골1,골1,골3,골3,골2,-,-,-,-,,,,35,46
464,4,501,"6,000",-,-,-,-,-,-,-,-,-,-,138,-,-,45,,쵸쿠레나,레이갈드,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,256,원더,원더,64,-,,,미시인사이드,44,46
464,4,501,"6,000",-,-,-,-,-,-,-,-,62,184,-,-,-,,,쏘하,티스라오,-,-,-,-,골3,골2,골1,원더,64,256,-,-,-,-,-,,,,166,177
464,4,501,"6,000",-,-,-,-,-,-,-,-,87,70,-,-,-,,,Gen G,노센레이어,-,-,골3,골1,골2,골1,원더,원더,128,128,-,-,-,-,-,"ㆄ, Gen G",,,43,46
464,4,501,"6,000",-,-,-,-,-,-,-,-,-,-,143,63,-,,,하나열매,칼자스,골3,골2,골2,골1,골1,원더,골2,골1,원더,원더,256,64,-,-,-,,,,23,25
464,4,501,"6,000",-,-,-,-,-,-,-,-,-,-,-,-,-,50,256,델람,티스라오,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,원더,64,256,,,여고생,166,177
464,4,501,"6,000",-,-,-,-,-,-,-,-,-,-,-,-,-,105,128,Jordan,카먼,-,-,-,-,-,실3,골3,골3,골3,골2,골1,원더,원더,128,128,,,명예,73,79
546,3,501,"6,000",158,195,-,-,-,183,-,-,-,-,-,-,-,,,서리바람,노센레이어,256,256,원더,골3,골3,256,골2,원더,골2,골3,-,-,-,-,-,,,,51,46
546,3,501,"6,000",-,177,-,210,-,250,-,-,-,-,-,-,-,,,김찹찹,티스라오,원더,256,원더,256,골2,256,골1,골3,브1,골3,골3,-,-,-,-,,,,195,177
546,3,501,"6,000",-,190,-,243,134,-,-,-,-,-,-,-,-,,,Achoo,카먼,원더,256,원더,256,256,-,-,-,-,-,-,-,-,-,-,SUNSHiNE,,,81,79
546,3,501,"6,000",-,213,223,-,254,-,-,-,-,-,-,-,-,,,라멜로볼,노센레이어,원더,256,256,원더,256,원더,-,-,-,-,-,-,-,-,-,론조볼,,,51,46
546,3,501,"6,000",-,-,-,-,197,159,178,-,-,-,-,-,-,,,헤어로,카먼,골3,원더,골1,원더,256,256,256,원더,원더,골2,-,-,-,-,-,,,,81,79
399,5,514,"5,500",33,-,116,-,-,-,-,-,-,-,-,-,-,,,악도리,티스라오,64,원더,128,-,-,-,-,-,-,-,-,-,-,-,-,,,,150,180
399,5,514,"5,500",65,37,-,-,-,-,-,-,-,-,-,-,-,,,묵언,카먼,128,64,원더,-,-,-,원더,-,-,-,-,-,-,-,-,,,,64,83
399,5,514,"5,500",123,42,-,-,-,-,-,-,-,-,-,-,-,,,한량왕oHhCJ,리그리아,128,64,골1,실1,-,-,-,-,-,-,-,-,-,-,-,"프레스토, CSR, 한량왕",,,11,14
399,5,514,"5,500",124,38,-,-,-,-,-,-,-,-,-,-,-,,,향동,칼자스,128,64,원더,실3,-,-,-,-,-,-,-,-,-,-,-,보자탈,,,20,26
399,5,514,"5,500",-,17,218,-,-,-,-,-,-,-,-,-,-,,,pnx,성검,원더,32,256,골2,-,-,-,-,-,-,-,-,-,-,-,,,,16,20
399,5,514,"5,500",-,26,193,-,-,-,-,-,-,-,-,-,-,,,오류DsXJya,이스카노,원더,32,256,골1,-,-,-,-,-,-,-,-,-,-,-,ENND,,,2,3
399,5,514,"5,500",-,39,94,-,-,-,-,-,-,-,-,-,-,,,메보딕지,벨제리아,원더,64,128,원더,골2,-,-,-,-,-,-,-,-,-,-,교미네이터,,,19,27
399,5,514,"5,500",-,-,-,-,-,186,17,-,-,-,-,-,-,,,YoY,노센레이어,골2,원더,원더,원더,원더,256,32,원더,실1,-,-,-,-,-,-,dystopia,,,35,49
